,value
_fit_time,26.755144453048707
_score_time,0.07119736671447754
_accuracy,0.7870999999999999
_precision,0.9864046665408444
_recall,0.5821267070203129
_f1_micro,0.7870999999999999
_f1_macro,0.7771047628154923
_f1_weighted,0.7771533522280081
gamma,1e-06
kernel,sigmoid
nu,0.25
