,value
_fit_time,44.8266459941864
_score_time,0.37634525299072263
_accuracy,0.8916999999999999
_precision,0.9486812501032921
_recall,0.8311229680376935
_f1_micro,0.8916999999999999
_f1_macro,0.8910991727996802
_f1_weighted,0.8910724806474155
gamma,1e-05
kernel,sigmoid
nu,0.5
