,value
_fit_time,6.749738025665283
_score_time,0.16698637008666992
_accuracy,0.5625
_precision,0.5593833406568368
_recall,0.6454241955088472
_f1_micro,0.5625
_f1_macro,0.5380375491839773
_f1_weighted,0.5387615875509553
contamination,0.5
n_neighbors,1025
novelty,True
