,value
_fit_time,629.620373916626
_score_time,2.479764795303345
_accuracy,0.6446000000000001
_precision,0.647051576208006
_recall,0.6356254095982817
_f1_micro,0.6446000000000001
_f1_macro,0.6444301869030883
_f1_weighted,0.6445811773824401
contamination,0.5
n_neighbors,9
novelty,True
