,value
_fit_time,36.40947432518006
_score_time,0.15471739768981935
_accuracy,0.5728
_precision,0.5730308533654258
_recall,0.5695478429804273
_f1_micro,0.5728
_f1_macro,0.5727273727103149
_f1_weighted,0.572772842871195
contamination,0.5
max_features,1.0
max_samples,128.0
n_estimators,100.0
