,value
_fit_time,117.87554841041565
_score_time,1.0763392925262452
_accuracy,0.9424000000000001
_precision,0.9878172605863155
_recall,0.8956662368456886
_f1_micro,0.9424000000000001
_f1_macro,0.9422080399375596
_f1_weighted,0.9422607872271189
gamma,1e-06
kernel,sigmoid
nu,0.5
