,value
_fit_time,113.46048059463502
_score_time,2.93556752204895
_accuracy,0.6479999999999999
_precision,0.6491151407820153
_recall,0.6445652055752994
_f1_micro,0.6479999999999999
_f1_macro,0.6479317191973694
_f1_weighted,0.6480220800053742
contamination,0.5
n_neighbors,33
novelty,True
