,value
_fit_time,200.13405165672302
_score_time,0.24927635192871095
_accuracy,0.5860000000000001
_precision,0.5862687862687863
_recall,0.5816869269209171
_f1_micro,0.5860000000000001
_f1_macro,0.585699994885222
_f1_weighted,0.5857977087543271
behaviour,new
contamination,0.5
max_features,1.0
max_samples,512
n_estimators,200
